benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
polybench/bicg,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/bicg,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/bicg,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/bicg,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/bicg,do_all,115,main,True,#pragma omp parallel for,True,True,True,115
polybench/bicg,do_all,116,main,True,#pragma omp parallel for,True,True,True,116
polybench/bicg,do_all,117,main,True,#pragma omp parallel for,True,True,True,117
polybench/bicg,do_all,118,main,True,#pragma omp parallel for,True,True,True,118
polybench/bicg,do_all,119,main,True,#pragma omp parallel for,True,True,True,119
polybench/bicg,do_all,31,init_array,True,#pragma omp parallel for,False,True,False,31
polybench/bicg,do_all,35,init_array,True,#pragma omp parallel for,False,True,False,35
polybench/bicg,do_all,33,init_array,True,#pragma omp parallel for,False,True,False,33
polybench/bicg,do_all,76,kernel_bicg,True,#pragma omp parallel for,False,False,False,76
polybench/bicg,do_all,81,kernel_bicg,True,#pragma omp parallel for,False,False,False,81
polybench/bicg,do_all,78,kernel_bicg,True,#pragma omp parallel for,False,False,False,78
polybench/bicg,do_all,51,print_array,True,#pragma omp parallel for,False,True,False,51
polybench/bicg,do_all,55,print_array,True,#pragma omp parallel for,False,True,False,55
polybench/bicg,do_all,88,polybench_flush_cache,True,#pragma omp parallel for,False,True,False,88
polybench/cholesky,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/cholesky,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/cholesky,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/cholesky,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/cholesky,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/cholesky,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/cholesky,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/cholesky,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/cholesky,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/cholesky,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/cholesky,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/cholesky,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/cholesky,task,105,main,False,['#pragma omp task'],True,True,True,105
polybench/cholesky,task,105,main,False,['#pragma omp task'],True,True,True,105
polybench/cholesky,task,105,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,105
polybench/cholesky,task,104,main,False,['#pragma omp task'],True,True,True,104
polybench/cholesky,task,104,main,False,['#pragma omp task'],True,True,True,104
