== polybench/2mm
  discopop_cc: rc=0 0.3s
  ./a.out: rc=0 0.2s
  seed=free run 11: rc=0 21.04s cb440db306 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 12: rc=0 21.07s 2211ec710f {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 13: rc=0 18.66s cb440db306 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 14: rc=0 20.67s 954f878514 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 15: rc=0 21.61s cec642cfc6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 16: rc=0 21.31s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 17: rc=0 22.15s 495c844dff {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 18: rc=0 21.77s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 19: rc=0 22.04s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 20: rc=0 21.29s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 1: rc=0 20.08s 405788ec00 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 2: rc=0 21.39s af749f4f5c {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 3: rc=0 23.01s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 4: rc=0 20.71s 28fa766f1d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 5: rc=0 19.56s 4881f78c0b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 6: rc=0 21.01s db4bf92038 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 7: rc=0 20.87s 28fa766f1d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 8: rc=0 19.91s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 9: rc=0 20.05s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 10: rc=0 19.34s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 11: rc=0 20.87s bc77a0a284 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 12: rc=0 19.01s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 13: rc=0 23.16s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 14: rc=0 20.48s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 15: rc=0 21.49s 28fa766f1d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 16: rc=0 21.86s 28fa766f1d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 17: rc=0 21.18s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 18: rc=0 20.31s bc77a0a284 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
