benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/2mm,serial,unpinned,-1,6,0,11.7232,11.714053087,3.84 3.88 38.97
polybench/2mm,serial,unpinned,-1,7,0,6.5993,6.589333904,3.93 3.90 38.60
polybench/2mm,serial,unpinned,-1,8,0,6.725,6.712161749,3.85 3.89 38.40
polybench/2mm,serial,unpinned,-1,9,0,7.2564,7.243648405,3.79 3.87 38.21
polybench/2mm,serial,unpinned,-1,10,0,7.1882,7.174556426,3.66 3.84 37.84
polybench/2mm,serial,4_lanes,0,1,0,,6.984844551,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,2,0,,6.896120386,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,3,0,,6.673843994,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,4,0,,7.04710225,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,5,0,,6.820503397,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,6,0,,7.04379127,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,7,0,,6.701478873,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,8,0,,6.703919842,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,9,0,,6.877649461,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,0,10,0,,6.903846805,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,1,0,,8.250161845,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,2,0,,6.465843226,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,3,0,,6.649373814,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,4,0,,8.33191987,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,5,0,,6.410624508,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,6,0,,6.760853713,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,7,0,,6.66350264,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,8,0,,8.56063454,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,9,0,,6.553077986,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,1,10,0,,6.718449428,5.59 4.39 35.55
polybench/2mm,serial,4_lanes,2,1,0,,6.480590777,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,2,0,,6.501663325,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,3,0,,7.336977152,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,4,0,,7.068205147,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,5,0,,6.853264174,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,6,0,,7.00054494,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,7,0,,8.743448178,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,8,0,,8.63839374,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,9,0,,8.807743581,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,2,10,0,,7.089519677,5.47 4.38 35.38
polybench/2mm,serial,4_lanes,3,1,0,,9.130886875,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,2,0,,8.827817393,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,3,0,,10.797871768,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,4,0,,9.193272329,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,5,0,,6.568401047,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,6,0,,6.486191978,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,7,0,,6.935489103,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,8,0,,6.339254539,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,9,0,,7.658487163,5.27 4.36 35.21
polybench/2mm,serial,4_lanes,3,10,0,,7.075145789,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,1,0,0.221,0.208000176,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,2,0,0.2221,0.211025287,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,3,0,0.2253,0.211880083,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,4,0,0.2233,0.213027121,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,5,0,0.2241,0.213258982,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,6,0,0.2234,0.212785009,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,7,0,0.2194,0.209502097,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,8,0,0.2208,0.209408666,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,9,0,0.2242,0.212367426,5.27 4.36 35.21
polybench/2mm,polly_parallel,alone,0,10,0,0.223,0.211995274,5.27 4.36 35.21
polybench/2mm,polly_parallel,unpinned,-1,1,0,0.2195,0.206884579,5.27 4.36 35.21
